r,t,y,CapitalInvestment
"Region1","BIO_RESPRD",2018,0.0298866133366079
"Region1","BIO_RESPRD",2019,0.0313137200818224
"Region1","BIO_RESPRD",2020,0.0328089721478428
"Region1","BIO_RESPRD",2021,0.0343756235668419
"Region1","BIO_RESPRD",2022,0.0360170836726187
"Region1","BIO_RESPRD",2023,0.0377369246506667
"Region1","BIO_RESPRD",2024,0.0395388892636376
"Region1","BIO_RESPRD",2025,0.0414268989433651
"Region1","BIO_RESPRD",2026,0.0434050623913813
"Region1","BIO_RESPRD",2027,0.0454776845463774
"Region1","BIO_RESPRD",2028,0.0476492758397594
"Region1","BIO_RESPRD",2029,0.0499245621497066
"Region1","BIO_RESPRD",2030,0.0523084949902448
"Region1","BIO_RESPRD",2031,0.0548062622895854
"Region1","BIO_RESPRD",2032,0.057423299707727
"Region1","BIO_RESPRD",2033,0.0601653025171689
"Region1","BIO_RESPRD",2034,0.0630382378859557
"Region1","BIO_RESPRD",2035,0.0660483579169205
"Region1","BIO_RESPRD2",2018,0
"Region1","BIO_RESPRD2",2019,0
"Region1","BIO_RESPRD2",2020,0
"Region1","BIO_RESPRD2",2021,0
"Region1","BIO_RESPRD2",2022,0
"Region1","BIO_RESPRD2",2023,0
"Region1","BIO_RESPRD2",2024,0
"Region1","BIO_RESPRD2",2025,0
"Region1","BIO_RESPRD2",2026,0
"Region1","BIO_RESPRD2",2027,0
"Region1","BIO_RESPRD2",2028,0
"Region1","BIO_RESPRD2",2029,0
"Region1","BIO_RESPRD2",2030,0
"Region1","BIO_RESPRD2",2031,0
"Region1","BIO_RESPRD2",2032,0
"Region1","BIO_RESPRD2",2033,0
"Region1","BIO_RESPRD2",2034,0
"Region1","BIO_RESPRD2",2035,0
"Region1","BIODSL_PROD_001",2018,3885.41515036504
"Region1","BIODSL_PROD_001",2019,185.531298129811
"Region1","BIODSL_PROD_001",2020,194.390544204422
"Region1","BIODSL_PROD_001",2021,203.672831383139
"Region1","BIODSL_PROD_001",2022,213.398349684975
"Region1","BIODSL_PROD_001",2023,223.58827067706
"Region1","BIODSL_PROD_001",2024,234.264770277029
"Region1","BIODSL_PROD_001",2025,245.451076407643
"Region1","BIODSL_PROD_001",2026,257.171535103506
"Region1","BIODSL_PROD_001",2027,269.451658215822
"Region1","BIODSL_PROD_001",2028,282.318160866087
"Region1","BIODSL_PROD_001",2029,295.799052255229
"Region1","BIODSL_PROD_001",2030,309.923666216619
"Region1","BIODSL_PROD_001",2031,324.722737823784
"Region1","BIODSL_PROD_001",2032,340.228473497347
"Region1","BIODSL_PROD_001",2033,356.474624212424
"Region1","BIODSL_PROD_001",2034,373.496537803783
"Region1","BIODSL_PROD_001",2035,391.331257275723
"Region1","BIOETH_PROD_001",2018,0
"Region1","BIOETH_PROD_001",2019,0
"Region1","BIOETH_PROD_001",2020,0
"Region1","BIOETH_PROD_001",2021,0
"Region1","BIOETH_PROD_001",2022,0
"Region1","BIOETH_PROD_001",2023,0
"Region1","BIOETH_PROD_001",2024,0
"Region1","BIOETH_PROD_001",2025,0
"Region1","BIOETH_PROD_001",2026,0
"Region1","BIOETH_PROD_001",2027,0
"Region1","BIOETH_PROD_001",2028,0
"Region1","BIOETH_PROD_001",2029,0
"Region1","BIOETH_PROD_001",2030,0
"Region1","BIOETH_PROD_001",2031,0
"Region1","BIOETH_PROD_001",2032,0
"Region1","BIOETH_PROD_001",2033,0
"Region1","BIOETH_PROD_001",2034,0
"Region1","BIOETH_PROD_001",2035,0
"Region1","BS_COM_EL_001",2018,0
"Region1","BS_COM_EL_001",2019,0
"Region1","BS_COM_EL_001",2020,0
"Region1","BS_COM_EL_001",2021,0
"Region1","BS_COM_EL_001",2022,0
"Region1","BS_COM_EL_001",2023,0
"Region1","BS_COM_EL_001",2024,0
"Region1","BS_COM_EL_001",2025,0
"Region1","BS_COM_EL_001",2026,0
"Region1","BS_COM_EL_001",2027,0
"Region1","BS_COM_EL_001",2028,0
"Region1","BS_COM_EL_001",2029,0
"Region1","BS_COM_EL_001",2030,0
"Region1","BS_COM_EL_001",2031,0
"Region1","BS_COM_EL_001",2032,0
"Region1","BS_COM_EL_001",2033,0
"Region1","BS_COM_EL_001",2034,0
"Region1","BS_COM_EL_001",2035,0
"Region1","BS_COM_HEAT_001",2018,0
"Region1","BS_COM_HEAT_001",2019,0
"Region1","BS_COM_HEAT_001",2020,0
"Region1","BS_COM_HEAT_001",2021,0
"Region1","BS_COM_HEAT_001",2022,0
"Region1","BS_COM_HEAT_001",2023,0
"Region1","BS_COM_HEAT_001",2024,0
"Region1","BS_COM_HEAT_001",2025,0
"Region1","BS_COM_HEAT_001",2026,0
"Region1","BS_COM_HEAT_001",2027,0
"Region1","BS_COM_HEAT_001",2028,0
"Region1","BS_COM_HEAT_001",2029,0
"Region1","BS_COM_HEAT_001",2030,0
"Region1","BS_COM_HEAT_001",2031,0
"Region1","BS_COM_HEAT_001",2032,0
"Region1","BS_COM_HEAT_001",2033,0
"Region1","BS_COM_HEAT_001",2034,0
"Region1","BS_COM_HEAT_001",2035,0
"Region1","BS_IND_CHEM",2018,0
"Region1","BS_IND_CHEM",2019,0
"Region1","BS_IND_CHEM",2020,0
"Region1","BS_IND_CHEM",2021,0
"Region1","BS_IND_CHEM",2022,0
"Region1","BS_IND_CHEM",2023,0
"Region1","BS_IND_CHEM",2024,0
"Region1","BS_IND_CHEM",2025,0
"Region1","BS_IND_CHEM",2026,0
"Region1","BS_IND_CHEM",2027,0
"Region1","BS_IND_CHEM",2028,0
"Region1","BS_IND_CHEM",2029,0
"Region1","BS_IND_CHEM",2030,0
"Region1","BS_IND_CHEM",2031,0
"Region1","BS_IND_CHEM",2032,0
"Region1","BS_IND_CHEM",2033,0
"Region1","BS_IND_CHEM",2034,0
"Region1","BS_IND_CHEM",2035,0
"Region1","BS_IND_CMNT",2018,0
"Region1","BS_IND_CMNT",2019,0
"Region1","BS_IND_CMNT",2020,0
"Region1","BS_IND_CMNT",2021,0
"Region1","BS_IND_CMNT",2022,0
"Region1","BS_IND_CMNT",2023,0
"Region1","BS_IND_CMNT",2024,0
"Region1","BS_IND_CMNT",2025,0
"Region1","BS_IND_CMNT",2026,0
"Region1","BS_IND_CMNT",2027,0
"Region1","BS_IND_CMNT",2028,0
"Region1","BS_IND_CMNT",2029,0
"Region1","BS_IND_CMNT",2030,0
"Region1","BS_IND_CMNT",2031,0
"Region1","BS_IND_CMNT",2032,0
"Region1","BS_IND_CMNT",2033,0
"Region1","BS_IND_CMNT",2034,0
"Region1","BS_IND_CMNT",2035,0
"Region1","BS_IND_FOOD",2018,0
"Region1","BS_IND_FOOD",2019,0
"Region1","BS_IND_FOOD",2020,0
"Region1","BS_IND_FOOD",2021,0
"Region1","BS_IND_FOOD",2022,0
"Region1","BS_IND_FOOD",2023,0
"Region1","BS_IND_FOOD",2024,0
"Region1","BS_IND_FOOD",2025,0
"Region1","BS_IND_FOOD",2026,0
"Region1","BS_IND_FOOD",2027,0
"Region1","BS_IND_FOOD",2028,0
"Region1","BS_IND_FOOD",2029,0
"Region1","BS_IND_FOOD",2030,0
"Region1","BS_IND_FOOD",2031,0
"Region1","BS_IND_FOOD",2032,0
"Region1","BS_IND_FOOD",2033,0
"Region1","BS_IND_FOOD",2034,0
"Region1","BS_IND_FOOD",2035,0
"Region1","BS_IND_OTH",2018,0
"Region1","BS_IND_OTH",2019,0
"Region1","BS_IND_OTH",2020,0
"Region1","BS_IND_OTH",2021,0
"Region1","BS_IND_OTH",2022,0
"Region1","BS_IND_OTH",2023,0
"Region1","BS_IND_OTH",2024,0
"Region1","BS_IND_OTH",2025,0
"Region1","BS_IND_OTH",2026,0
"Region1","BS_IND_OTH",2027,0
"Region1","BS_IND_OTH",2028,0
"Region1","BS_IND_OTH",2029,0
"Region1","BS_IND_OTH",2030,0
"Region1","BS_IND_OTH",2031,0
"Region1","BS_IND_OTH",2032,0
"Region1","BS_IND_OTH",2033,0
"Region1","BS_IND_OTH",2034,0
"Region1","BS_IND_OTH",2035,0
"Region1","BS_IND_TEXT",2018,0
"Region1","BS_IND_TEXT",2019,0
"Region1","BS_IND_TEXT",2020,0
"Region1","BS_IND_TEXT",2021,0
"Region1","BS_IND_TEXT",2022,0
"Region1","BS_IND_TEXT",2023,0
"Region1","BS_IND_TEXT",2024,0
"Region1","BS_IND_TEXT",2025,0
"Region1","BS_IND_TEXT",2026,0
"Region1","BS_IND_TEXT",2027,0
"Region1","BS_IND_TEXT",2028,0
"Region1","BS_IND_TEXT",2029,0
"Region1","BS_IND_TEXT",2030,0
"Region1","BS_IND_TEXT",2031,0
"Region1","BS_IND_TEXT",2032,0
"Region1","BS_IND_TEXT",2033,0
"Region1","BS_IND_TEXT",2034,0
"Region1","BS_IND_TEXT",2035,0
"Region1","BS_OTH_001",2018,0
"Region1","BS_OTH_001",2019,0
"Region1","BS_OTH_001",2020,0
"Region1","BS_OTH_001",2021,0
"Region1","BS_OTH_001",2022,0
"Region1","BS_OTH_001",2023,0
"Region1","BS_OTH_001",2024,0
"Region1","BS_OTH_001",2025,0
"Region1","BS_OTH_001",2026,0
"Region1","BS_OTH_001",2027,0
"Region1","BS_OTH_001",2028,0
"Region1","BS_OTH_001",2029,0
"Region1","BS_OTH_001",2030,0
"Region1","BS_OTH_001",2031,0
"Region1","BS_OTH_001",2032,0
"Region1","BS_OTH_001",2033,0
"Region1","BS_OTH_001",2034,0
"Region1","BS_OTH_001",2035,0
"Region1","BS_RES_CWH_001",2018,0
"Region1","BS_RES_CWH_001",2019,0
"Region1","BS_RES_CWH_001",2020,0
"Region1","BS_RES_CWH_001",2021,0
"Region1","BS_RES_CWH_001",2022,0
"Region1","BS_RES_CWH_001",2023,0
"Region1","BS_RES_CWH_001",2024,0
"Region1","BS_RES_CWH_001",2025,0
"Region1","BS_RES_CWH_001",2026,0
"Region1","BS_RES_CWH_001",2027,0
"Region1","BS_RES_CWH_001",2028,0
"Region1","BS_RES_CWH_001",2029,0
"Region1","BS_RES_CWH_001",2030,0
"Region1","BS_RES_CWH_001",2031,0
"Region1","BS_RES_CWH_001",2032,0
"Region1","BS_RES_CWH_001",2033,0
"Region1","BS_RES_CWH_001",2034,0
"Region1","BS_RES_CWH_001",2035,0
"Region1","BS_RES_EL_001",2018,0
"Region1","BS_RES_EL_001",2019,0
